"Speaker","Text","Page"
"REGIE","Die   drei    ???    und     die   flüsternde        Mumie","1"
"REGIE","- Hörspielskript von FlukeSkywater -","1"
"REGIE","Anfangsmusik","1"
"REGIE","Im Hintergrund Arbeitslärm und Hundegebell.","1"
"Blacky","Hilfe! Hilfe! Rettet mich! Hilfe!","1"
"Mathilda","Justus! Du hast den Vogel zu viel fernsehen lassen. Er redet ja wie im Krimi.","1"
"REGIE","(Papageiengekrächze)","1"
"Justus","(schnauft) Ganz recht, Tante Mathilda. Mmh, wo soll ich die Tür hin tun?","1"
"Mathilda","Na, wohin schon? Zu den andern Türen natürlich. Los, ihr Burschen - ihr beiden auch!","1"
"Mathilda","Bob, Peter - nu los doch!","1"
"Bob","(widerwillig) Ja ...","1"
"Justus","Die Arbeit ist schwer, Tante Mathilda. Wir könnten eine Pause gebrauchen.","1"
"Mathilda","Aach, ich verstehe - ihr habt gesehen, dass die Post gekommen ist, und ihr seid","1"
"Mathilda","neugierig. Ihr glaubt wohl, dass ein Brief für euch dabei ist.","1"
"Justus","(keucht) Ist einer dabei, Tante Mathilda?","1"
"Mathilda","Einer nicht - gleich drei. Hier sind sie. (lacht kurz) Ich will mal nicht so sein.","1"
"Justus","Danke.","1"
"Bob","Von wem sind die Briefe, Just?","1"
"Justus","Geduld, Bob! Erstmal will ich diesen hier sehen - den mit dem rosa Papier. Er sieht aus,","1"
"Justus","als ob er von einer Katzenliebhaberin wäre.","1"
"Peter","Meinst du? Dann ist es bestimmt ein Auftrag, eine Katze zu suchen.","1"
"Bob","Da bin ich ja nun nicht grade scharf drauf. (Papiergeraschel)","1"
"Justus","(enttäuscht) Hm, es geht tatsächlich um eine entlaufene Katze. Hm! (erneut","1"
"Justus","Papiergeraschel) Hach ... und dieser? Junge, Junge - der Brief hier ist von Alfred","1"
"Justus","Hitchcock!","1"
"Peter","Von Hitchcock? Was steht drin?","1"
"Bob","Vielleicht ein Auftrag!","1"
"Justus","Mal sehen ...","1"
