"Speaker","Text","Page"
"REGIE","Die  drei  ???   – und   das   versunkene      Dorf  (136)","1"
"REGIE","Script von Monique Carrera","1"
"REGIE","Track 1 – Ein neuer Fall","1"
"REGIE","[Titelmusik]","1"
"REGIE","[Schrottplatzgeräusche, das Telefon klingelt, Blacky krächzt]","1"
"Justus","Ja? Justus Jonas von den drei Detektiven.","1"
"Darren","[durchs Telefon] Justus Jonas? Wow, wie cool, du bist es wirklich,","1"
"Darren","oder?","1"
"Justus","[überrascht] Ähm, ja. Mit wem spreche ich?","1"
"Darren","Mit Darren. Darren Duff aus Seattle.","1"
"Justus","Aha.","1"
"Darren","Aber momentan wohne ich in Ridgelake, Oregon. Na ja, den Rest er-","1"
"Darren","kläre ich dir später.","1"
"Justus","OK.","1"
"Darren","Ich kenne dich aus der Zeitung, genauer gesagt, euch. Die drei Frage-","1"
"Darren","zeichen.","1"
"Darren","Sind die anderen beiden auch da? Bob Shaw und Peter Andrews?","1"
"REGIE","[Hundegebell im Hintergrund]","1"
"Justus","Ähm, Bob Andrews und Peter Shaw. Nein. Die sind momentan nicht","1"
"Justus","da.","1"
"Darren","Ähm, ich habe einen Fall für euch.","1"
"Justus","Ach.","1"
"Darren","Hier, in Ridgelake, passieren merkwürdige Sachen. Richtig unheimli-","1"
"Darren","che Sachen, meine ich.","1"
"Justus","Aha. Du könntest mein Interesse wecken, wenn du etwas ins Detail","1"
"Justus","gehen würdest, Darren.","1"
"Darren","Ähm, also hier gibt es einen See.","1"
"Justus","Ja.","1"
"Darren","Und die Leute in Ridgelake meiden ihn. Sie haben irgendwie Angst vor","2"
"Darren","ihm. Keine Ahnung. Jedenfalls war ich an diesem See.","2"
"Justus","Aha.","2"
"Darren","Nachts. Und auf einmal fing das Wasser an zu leuchten.","2"
"Justus","Was?","2"
"Darren","Ja, richtig zu leuchten, so als wäre es plötzlich Lava. Oder so.","2"
"Darren","chen, ich ruf noch mal an.","2"
"REGIE","[Musik setzt ein]","2"
"REGIE","[Telefontuten, Justus legt auf, Blacky krächzt]","2"
"REGIE","[Musik]","2"
"REGIE","Track 2 – Der Mann im Wasser","3"
"REGIE","[Musikwechsel]","3"
"Erzähler","Die Straße, die sich durch das enge Tal schlängelte, war nicht viel","3"
"Erzähler","mehr, als ein schlammiger Pfad. Das Grün der Wildwiesen, an denen","3"
"Erzähler","der rote MG vorbei fuhr, war tief und nass. Peter konnte sich nicht er-","3"
"Erzähler","innern, wann er das letzte Mal ein Gebäude oder gar einen Menschen","3"
"Erzähler","an der Straße gesehen hatte.","3"
"REGIE","[Motorengeräusch]","3"
"REGIE","[aufdringliches Klopfen und Rütteln]","3"
"REGIE","ein Alptraum. Die ganze Gegend ist ein Alptraum. Wir sind mitten im","3"
"REGIE","seste Nichts aller Zeiten! [beschwert sich] Ein großartiges Wochenen-","3"
"REGIE","regnen!","3"
"REGIE","[Regen setzt ein, Scheibenwischer]","3"
"Bob","Oh nein! Ja, toll! Jetzt ist es das trostloseste Nichts aller Zeiten, Peter!","3"
"Justus","[sehr durchgerüttelt] Ich finde, ihr beiden habt genug genörgelt.","3"
"Bob","Was?","3"
"Justus","Wir sind schließlich nicht zum Vergnügen hier in dieser gottverlasse-","3"
"Justus","nen Gegend.","3"
"Bob","Ja!","3"
"Peter","Gottverlassen hat unser erster gesagt. Er gibt es sogar zu!","3"
"Justus","Wir haben einen Fall übernommen. Und dass Darren Duff in einer","3"
"Justus","gottverlassenen Gegend mitten in Oregon wohnt, hat keinerlei Einfluss","3"
"Justus","auf den Umstand, dass wir uns bereit erklärt haben, diesen Fall anzu-","3"
"Justus","nehmen.","3"
"Peter","Jaa! Jaaa! Göörh!","3"
"Bob","Nun fahr doch mal ein bisschen langsamer, Peter!","3"
"Peter","Es geht nicht anders!","3"
"REGIE","[Musik]","3"
"Erzähler","Justus dachte an Darrens zweiten Anruf. Da hatte seine Stimme ganz","3"
"Erzähler","normal geklungen und von dem glühenden Wasser war keine Rede","3"
"Erzähler","mehr gewesen. Der erste Detektiv hatte sofort begriffen, dass Darren","3"
"Erzähler","nicht allein war und nicht frei reden konnte. Also hatte er am Telefon","3"
"Erzähler","so getan, als wären die drei Fragezeichen Freunde von ihm, die ihn in","3"
"Erzähler","Ridgelake besuchen wollten. Kurzentschlossen hatte Justus zugesagt","4"
"Erzähler","und sich den genauen Weg nach Ridgelake beschreiben lassen. Der","4"
"Erzähler","Regenschauer war vorüber, aber der Himmel blieb weiter düster ver-","4"
"Erzähler","hangen.","4"
"REGIE","[Motorengeräusch]","4"
"Bob","Gleich wird’s dunkel.","4"
"Peter","Mhm.","4"
"Justus","Laut Karte sind wir schon sehr nah. Das einzige, was mich irritiert, ist","4"
"Justus","dieser geheimnisvolle See, von dem Darren sprach. Er ist hier auf der","4"
"Justus","Karte nämlich gar nicht drauf.","4"
"Bob","Darf ich mal kurz nen Tip abgeben?","4"
"Justus","Ja?","4"
"Bob","Der See entpuppt sich als Karpfenteich und das geheimnisvolle Glü-","4"
"Bob","hen als stimmungsvolle Teichbeleuchtung, Darren als Spinner und un-","4"
"Bob","ser neuer Fall als Reinfall.","4"
"Peter","[lacht zunächst] Ja.","4"
"Justus","Fallt ruhig über mich her, macht mich zur Schnecke, wenn wir umsonst","4"
"Justus","700 Meilen gefahren sein sollten, aber bitte erst, wenn ihr einen Grund","4"
"Justus","dazu hat, OK?","4"
"Peter","Hm.","4"
"Bob","[entgeistert] Moment. Ich nehme alles zurück.","4"
"Peter","Was denn?","4"
"Bob","Erster?","4"
"Justus","Hä?","4"
"Bob","Guck mal da! Rechts!","4"
"Justus","Wo?","4"
"Bob","[leicht angenervt] Daa.","4"
"Justus","Hä?","4"
"Bob","Da hinten ist tatsächlich ein See.","4"
"Bob","Karte existiert er gar nicht. Dabei ist er so groß, dass er auf jeden Fall","4"
"Bob","drauf sein müsste.","4"
"Bob","[flüsternd] Seht doch. Da. Das Licht. Da, mitten auf dem See.","4"
"Justus","Ich fasse es nicht. Und es bewegt sich ganz langsam. Es scheint zu","5"
"Justus","schweben.","5"
"Bob","[flüsternd] Ist ja unheimlich.","5"
"Justus","Halt an, Peter.","5"
"Peter","Ja, wenn’s unbedingt sein muss.","5"
"REGIE","[der Motor stoppt, Justus stöhnt kurz auf]","5"
"Peter","So, und jetzt?","5"
"Justus","Jetzt steigen wir aus. Kommt.","5"
"Bob","Was?","5"
"Justus","Los!","5"
"Bob","Gut.","5"
"REGIE","[Autotüren klappen, Frösche quaken, Musik setzt ein]","5"
"Bob","[flüsternd] Das gibt’s doch gar nicht.","5"
"REGIE","[die Jungen sind erstaunt]","5"
"Justus","Dieses Licht. Es scheint, als käme es aus dem See selbst.","5"
"Justus","Ja.","5"
"Bob","[flüsternd] Was hast du denn, zweiter?","5"
"Peter","[flüsternd] Da hinten! Da hinten steht ein Mann am Ufer.","5"
"Bob","Ja. Ich sehe ihn. Der ist ja uralt.","5"
"Justus","[flüsternd] Was macht er denn jetzt? [die Jungen erschrecken] Er geht","5"
"Justus","ins Wasser. Einen Schritt nach dem anderen.","5"
"Bob","Sag mal, ist der bescheuert? Das Wasser muss doch eisigkalt sein.","5"
"Peter","[rufend] Hey! Hey, Sie da! Hallo! Kommen Sie raus! Halloo!","5"
"Justus","Er reagiert nicht. Er geht immer weiter.","5"
"Peter","[fast panisch] Ich muss ihm helfen!","5"
"REGIE","[Peter springt ins Wasser, schwimmt]","6"
"Peter","Hallo!","6"
"REGIE","[ein Mann – Paul Brooks – stöhnt]","6"
"Peter","Hallo, können Sie mich hören?","6"
"Peter","Nein, nein, mein Name ist Peter Shaw. Sie müssen sofort raus aus","6"
"Peter","dem Wasser. Sonst erfrieren Sie.","6"
"REGIE","[der Mann stammelt unverständlich, Schwimmgeräusche]","6"
"Peter","Kommen Sie. Ich helfe Ihnen. Wir müssen ans Ufer.","6"
"REGIE","[Peter bringt den Mann ans Ufer]","6"
"Peter","Ach so.","6"
"Peter","Wie, wie heißen Sie?","6"
"Paul Brooks","Paul. Paul Brooks.","6"
"Peter","Aha.","6"
"Paul Brooks","Ich komme aus Ridgelake, Charly. Gleich hinter dem nächsten Hügel.","6"
"Peter","Helft mir mal, Freunde, er glaubt, ich wäre Charly.","6"
"Justus","Ja.","6"
"Bob","Charly? Kommen Sie. Kommen Sie hoch, Mr. Kommen Sie, wir brin-","6"
"Peter","Ja, wir tragen Sie.","6"
"REGIE","[die Jungen stöhnen angestrengt]","6"
"Bob","Kommen Sie. Ganz vorsichtig. Hier. Zum Auto.","6"
"Peter","So, jetzt haben wir es.","6"
"REGIE","[die Autotür wird geöffnet]","6"
"Bob","So, und jetzt steigen Sie ein.","6"
"REGIE","[alle stöhnen, die Autotüren schlagen zu]","6"
"Bob","Wie geht es Ihm?","6"
"Paul Brooks","Ridgelake.","6"
"Justus","Geht es ihm gut, Peter?","7"
"Peter","[bibbernd] Ich weiß nicht. Er muss aus den nassen Sachen raus. Das","7"
"Bob","Ja, ja.","7"
"Peter","Mr. Brooks?","7"
"Peter","Warum sind Sie ins Wasser gestiegen?","7"
"REGIE","[Paul Brooks stammelt etwas unverständliches]","7"
"Bob","Was? Was? Was erzählt er da?","7"
"Peter","Ich versteh kein Wort. Er wohnt in Ridgelake, Freunde. Da, da wollen","7"
"Peter","langsam friere ich mir wirklich nen Wolf.","7"
"REGIE","[Motoren- und Fahrgeräusch]","7"
"Justus","Ja.","7"
"Bob","Ja.","7"
"REGIE","[Paul Brooks stammelt immer noch vor sich hin]","7"
"Bob","Ganz ruhig, Mr. Brooks.","7"
"REGIE","[Musik]","7"
"REGIE","Track 3 – Ein Arzt muss her","8"
"REGIE","[Musik]","8"
"Erzähler","Die Straße führte eine Meile geradeaus. Dann machte sie einen weiten","8"
"Erzähler","Bogen um einen grasbewachsenen Hügel. Plötzlich kam das Dorf in","8"
"Erzähler","Sicht. Auf einem alten, verwitterten Schild stand Ridgelake. Die Häu-","8"
"Erzähler","ser waren allesamt aus Holz gebaut. Es war zu erahnen, dass sie einst","8"
"Erzähler","strahlend und herrschaftlich ausgesehen hatten. Doch das war viele","8"
"Erzähler","Jahrzehnte her. Die Farbe war längst abgeblättert und das Holz war","8"
"Erzähler","dunkel und fleckig geworden.","8"
"REGIE","[Motorengeräusch]","8"
"Justus","Wohin sollen wir Sie bringen, Mr. Brooks? Zu Ihnen nach Hause","8"
"REGIE","[Paul Brooks stammelt immer noch unverständlich]","8"
"Bob","Das bringt alles nichts, erster.","8"
"Peter","Bringt überhaupt nichts.","8"
"Bob","Halt bei der Gaststätte da vorn, Peter.","8"
"Peter","Ja.","8"
"Bob","Ich geh mal rein und frag, vielleicht wissen die irgendwas.","8"
"Bob","ja.","8"
"Bob","Ja. Bis gleich.","8"
"REGIE","das Auto steht, eine Autotür klappt, Schritte, eine Tür wird geöffnet,","8"
