"Speaker","Text","Page"
"REGIE","Hörspielskript","1"
"REGIE","transkribiert von N.C. Floyd","1"
"REGIE","*Titelmusik*","1"
"REGIE","AUSSEN - EINE KLEINE INSEL NAHE DER KALIFORNISCHEN KÜSTE","1"
"REGIE","*Naturgeräusche, WIND, BRANDUNG, SEEVÖGEL*","1"
"Erzähler","Die drei Detektive waren auf einer kleinen Insel vor Long Beach unterwegs, um","1"
"Erzähler","dort einige Aufnahmen für einen Fotowettbewerb zu schießen. Der größte Teil","1"
"Erzähler","dieser Insel war Naturschutzgebiet, aber auf einer Anhöhe über der westlichen","1"
"Erzähler","Küste erhob sich die Ruine eines Sanatoriums. Dort hatten sich, zu dessen","1"
"Erzähler","Glanzzeiten, Menschen die es sich leisten konnten, von ihren Krankheiten erholt.","1"
"REGIE","*Justus, Peter und Bob MÜHEN SICH ZU FUSS durch UNEBENES GELÄNDE*","1"
"Justus","(munter)      Hah! Seht euch das zerfallene Gebäude da an, Kollegen.","1"
"Bob","(staunt)         Ja!","1"
"Justus","(referiert)   Unter diesem Bauwerk ist vor fast zwanzig Jahren bei einem","1"
"Justus","Erdbeben eine riesige Grotte eingestürzte.","1"
"Peter","Hh.","1"
"Justus","Nur durch ein Wunder ist nicht das ganze Sanatorium in die","1"
"Justus","Tiefe gesackt.","1"
"Bob","Hn.","1"
"Peter","Hm…  Blöd nur, dass der hohe Maschendrahtzaun drum","1"
"Peter","herum gezogen wurde. Der soll wohl vor unbefugten","1"
"Peter","Eindringlingen schützen. Das Tor ist mit einer dicken Kette","1"
"Peter","gesichert.","1"
"Bob","Ja.","1"
"REGIE","*Er liest eines der Schilder, während PETER AN DER KETTE RÜTTELT*","1"
"Bob","Hier steht „Privatbesitz!“.","1"
"Justus","Hm!","1"
"Bob","Na toll!","1"
"Peter","Eh. Und die anderen Schilder warnen vor Einsturzgefahr.","1"
"REGIE","*In der Entfernung fährt ein MOTORBOOT vorüber*","1"
"Peter","Schaut mal dort hinten!","2"
"Justus","Ja, ein Boot der Küstenwache. Ob die hier routinemäßig","2"
"Justus","patrouillieren?","2"
"Bob","(amüsiert)       Wahrscheinlich lauern sie auf drei Jungs, die auf der Suche","2"
"Bob","nach dem perfekten Schnappschuss am Ende doch noch","2"
"Bob","über den Zaun klettern. (lacht)","2"
"Justus","(lacht)       - -","2"
"Peter","Nein, das Boot meinte ich nicht, sondern den Kerl dort, mit","2"
"Peter","den chinesischen Drachentattoos an den Unterarmen.","2"
"Bob","Ach der…? Na, das wird ’n Spaziergänger sein der ins","2"
"Bob","Naturschutzgebiet will.","2"
"Justus","Huh…","2"
"Peter","Wahrscheinlich gehört ihm der graue Kastenwagen neben","2"
"Peter","dem du geparkt hast, Peter.","2"
"Peter","Aber seht doch mal. Der Typ duckt sich. Er versteckt sich vor","2"
"Peter","der Küstenwache.","2"
"REGIE","*Atmosphärische Spannung (SYNTHESIZER)*","2"
"Justus","Ja.","2"
"Bob","Stimmt.","2"
"Justus","Tatsächlich.","2"
"Bob","Das Boot dreht ab. Ja und der Mann geht weiter.","2"
"Justus","Huh.","2"
"Bob","Zum Glück nicht in unsere Richtung.","2"
"Peter","Jetzt ist er hinter der Biegung verschwunden.","2"
"Justus","Wir folgen ihm.","2"
"Peter","(unsicher)     Uh-hu?","2"
"Justus","Wir hatten doch eh vor dort lang zu gehen.","2"
"Bob","Okay.","2"
"REGIE","*Sie gehen*","2"
"Bob","Hey, Leute, seht euch das mal an. Das Sanatorium ist bis","2"
"Bob","dicht an die riesige Felswand dort gebaut worden. Ich mach","2"
"Bob","mal ’n paar Fotos.","2"
"Peter","Ja, aber hier endet der Weg. Sackgasse! Gehen wir zurück.","3"
"Justus","Kollegen, habt ihr das Loch unten im Zaun nicht gesehen?","3"
"Justus","Keine zehn Meter hinter uns?","3"
"Peter","Hm?","3"
"Bob","Was denn, du… du willst in das Gelände eindringen, Justus?","3"
"Justus","Ja, natürlich. Aber nur wegen der guten Fotos, die man dort","3"
"Justus","schießen kann.","3"
"Bob","Natürlich.","3"
"Justus","Mhm!","3"
"Peter","Hast du die Warnschilder nicht gelesen?","3"
"Justus","Ganz ruhig, Peter! Wir werden vorsichtig sein und die Ruine","3"
"Justus","nicht betreten, aber wir können für den Fotowettbewerb die","3"
"Justus","Geschichte des Hauses vorstellen. Da müssen wir schon","3"
