Speaker,Text,Page
REGIE,sprechend Totenkopf,1
REGIE,Hörspielskript erstellen mr Maximilian,1
REGIE,Anfangsmusik,1
REGIE,Hintergrundgeräusch,1
Auktionator,Dollar fünfzig Dollar fünfzig,1
Auktionator,bieten wundervoll erhalten Tisch,1
Auktionator,Dollar fünfzig,1
Auktionator,zügig Dollar fünfzig zweit jawohl Dollar fünfzig bitte,1
Auktionator,Herr Krawatte Dankeschön,1
Peter,Just,1
Peter,Hintergrund Position 28,1
Justus,paar Minute Peter,1
Auktionator,Position 28 interessant Stück Dame Herr,1
Auktionator,Besondere heben Stück rauf sehen jawohl,1
Auktionator,Dankeschön bitteschön Rauf jawohl danken,1
Justus,Stück sehen interessant glauben bieten,1
Peter,altmodisch Koffer spinnen,1
Justus,egal sehen kriegen Inhalt wert teilen,1
Justus,,1
Bob,wert wahrscheinlich Haufen Kleider 1890 Mode,1
Bob,,1
Auktionator,Hintergrund Dame Herr,1
Justus,Bob,1
Auktionator,bitte Aufmerksamkeit wundervoll Prachtstück glauben,1
Auktionator,Koffer jawohl Hahaha,1
Justus,Glaube Koffer gehören Schauspieler Reisetruhe,1
Justus,Schauspieler Tournee Garderobe,1
Peter,fehlen Haufen alt Theaterkostüm,1
Auktionator,Hintergrund wissen Koffer verbergen,1
Peter,just bitte lassen,1
Auktionator,stecken sogar Kronjuwel russisch Zarenfamilie Hahaha,1
Auktionator,bieten Gebot Herrschaft Gebot lassen,1
Auktionator,Lump bieten nehmen selber,1
Justus,rufend Dollar,1
Auktionator,Dollar Dollar geboten jung klug Gesicht,1
Auktionator,Reihe wissen Herrschaft,1
Auktionator,zügig zweit jawohl hehehe belohnen,1
Auktionator,Klugheit verkaufen Stück Dollar Pasta,1
Dame,halten warten bitte bieten Dollar ä,1
Auktionator,tun leid Koffer verkaufen Jung nächst,1
Auktionator,Position,1
Justus,bringen Schrottplatz bitte fassen,1
Peter,he Frau bieten,1
Peter,flott verkaufen just,1
Dame,hören Jungs geben dreißig Dollar Geschäft,1
Justus,verkaufen hundert,1
Justus,Dollar,1
Dame,,1
Fred Brown,entschuldigt Jungs sprechen,1
Justus,Koffer draußen,2
REGIE,Gekeuch Tür knarren,2
Peter,schön schwer,2
Justus,,2
Fred Brown,Fred Brown Reporter Hollywood New machen Notiz,2
Fred Brown,Alltag Bild Koffer,2
Fred Brown,Auktion,2
Justus,sicher Bob stellen Peter,2
Fred Brown,prima,2
Justus,Lächeln,2
REGIE,leise Gelächter Fotoapparat knipsen,2
Fred Brown,danken Name erfahren erzählen,2
Fred Brown,30 Dollar nehmen,2
Justus,neugierig glauben Koffer gehören Theater,2
Justus,sehen Spaß kaufen Geschäft,2
Justus,,2
Bob,Rückseite Gulliver klingen Theater,2
Bob,Zirkus varieten,2
Fred Brown,russisch Kronjuwel Name,2
Justus,Karte befassen Ermittlung Art,2
Peter,bestätigend,2
Bob,genau,2
Fred Brown,Aha Detektiv bedeuten Fragezeichen,2
Justus,Mark Fragezeichen Symbol unerforscht Geheimnis,2
Justus,ungelöst Rätsel möglich verzwickt Problem führen,2
Justus,Firmenzeichen untersuchen irgendwie Geheimnis riechen,2
Peter,bestätigend,2
Fred Brown,danken sehen abend Bild Zeitung hängen,2
Fred Brown,Redakteur Story fällen,2
REGIE,Zwischenmusik,2
Erzähler,Artikel Detektiv erscheinen nächst Bob Las,2
Erzähler,Zentrale kommen Artikel nennen Name berichten,2
Erzähler,Zentralbüro Schrottplatz Firma Jona Rocky Beach,2
REGIE,Zeitungsgeraschel,2
Peter,sehen Werbung bißchen doof,2
Peter,hinstellen,2
Justus,,2
Peter,glauben wertvoll Koffer,2
Justus,Auktionator verdanken russisch,2
Justus,Kronjuwel Artikel ausschneiden Album kleben,2
Peter,Zeitung,2
REGIE,Telefon klingeln,2
Justus,Moment nehmen Interessent Koffer danken,2
Justus,legen,2
Bob,Just,2
