Speaker,Text,Page
REGIE,4 schwarz Katze,1
REGIE,Hörspielskript flukeskywat,1
REGIE,Anfangsmusik,1
REGIE,Hintergrund Rummelplatzmusik Jahrmarktgeräusche,1
Peter,Freund Iwan Radscha gut Löwendressur,1
Peter,Welt,1
Bob,lang blöd bemalt fassen tragen,1
Justus,fassen Bob nunmehr Podest Löwe Radscha,1
Justus,Sitz,1
Bob,klar Justu bleiben fassen,1
Peter,halb Bob,1
Bob,Peter loswerden,1
Justus,Iwan Hallo Sir bringen Podest,1
Justus,Löwe,1
Iwan,schön anmalen,1
Iwan,Sonderbelohnung verdient laden Löwenshow halten,1
Iwan,,1
Peter,danken Sir,1
Justus,prima,1
Bob,großartig,1
Gabbo,Betrug preis,1
Junge,Hilfe Hilfe halten,1
Mädchen,,1
Junge,Katze stehlen Hilfe,1
Justus,Schlapphut Bart,1
Gabbo,Seite,1
Peter,Vorsicht Messer,1
Gabbo,nah bleiben,1
Justus,,1
Iwan,verfolgen,1
Bob,verrücken Justu Messer,1
Justus,halten Distanz Kollege sehen laufen hastig Schritt,1
REGIE,abnehmen Geräuschkulisse,1
Peter,Zaun Zaun reichen Wasser runter,2
Peter,,2
Justus,Vorsicht nahe,2
Peter,Wache,2
Wachmann,,2
Peter,He hierher hierher Zaun,2
Justus,Sehen,2
Bob,Vorsicht just Ecke,2
Justus,,2
Peter,Gibts verschwunden,2
Bob,sehen hierher gelaufen sehen,2
Bob,Spur,2
Wachmann,Luft auflösen Wasser,2
Wachmann,gesprungen sehen Wasser bewegen,2
Peter,Zaun klettern Meter,2
Peter,schaffen,2
Wachmann,schade Spur erkennen Boden,2
Wachmann,steinig,2
Justus,Kollege Ahnung leugnen,2
Justus,Zaun klettern,2
Wachmann,Quatsch Zaun bieten nirgendwo halt Lücke,2
Wachmann,rüberklettern,2
Justus,scheinen vernünftig Erklärung,2
Justus,tun ausschließen,2
Justus,übrigbleiben Lösung unmöglich erscheinen,2
Erzähler,klettern mehrere Meter hoch Bretterwand denken,2
Erzähler,verlieren Boden Fuß lassen,2
Erzähler,sagen fest halt eng Verbindung Tatsache,2
Erzähler,vorankommen Aufstieg stets unerlässlich,2
Peter,jedenfalls Stofftier verloren klauen,2
Bob,Diebstahl bringen,2
Peter,Nee,2
Justus,Stoffkatze,2
Peter,amüsiert letzt heuler,2
REGIE,brummen belustigt,2
Peter,sehen Katze Bein verdreht krümmen Buckel fletscht,3
Peter,Zahn lassen Ohr hängen kneifen Auge lachen,3
Justus,Ding stehlen,3
Bob,sammeln Stofftier,3
Peter,Stofftier sammeln,3
Bob,,3
Peter,Schießbude verrücken Bob,3
Bob,,3
Peter,Vieh wert,3
Wachmann,geben Vieh bringen Schießbude,3
Justus,Sir ohnehin,3
