Speaker,Text,Page
REGIE,,1
REGIE,Phantomsee,1
REGIE,Hörspielskript Neufassung Hörspiel verfassen Mike Hall,1
REGIE,Titelmusik,1
REGIE,Verkehrslärm Hintergrund,1
REGIE,Hitchcock Erzähler Fragezeichen Justus Jonas Peter Shaw Bob Andrew,1
REGIE,helfen Onkel Titus Jona Museum Rockybeach Museum,1
REGIE,geschlossen Tante Mathilda Onkel Titus Jona gelingen,1
REGIE,wertvoll Stück Trödelmarkt erwerben abtransportieren,1
Peter,stöhnen,1
REGIE,Kettenrassel,1
Bob,großartig finden Maleienkri,1
Peter,lassen sehen Au scharf rasierklingen,1
Bob,hierher,1
Justus,beantworten Bob Schiff segeln Kalifornien,1
Justus,Indien Indonesien Anzahl Kunstgegenstand Museum,1
Justus,stammen Orient,1
Peter,Just,1
Justus,Hintergrund,1
Bob,Vortrag,1
Mathilda,interessiert vorläufig Kunstgegenstand,1
Justus,Jona drücken rum Lümmel laden Zeug Lastwagen,1
Justus,Tante Mathilda,1
Mathilda,Holztruhe,1
Java-Jim,gehören,1
Mathilda,,1
REGIE,Musiksequenz,1
Java-Jim,Jim heißen nennen Javajim Truhe Fahrt,2
Java-Jim,Java hierher begleiten Ding gefährlich,2
Mathilda,tun leid Ausstellungsstück kaufen Ausnahme,2
Mathilda,Truhe kaufen bezahlen,2
Java-Jim,bezahlen Truhe denken,2
Mathilda,schlagen Truhe Kopf,2
Java-Jim,stehlen Woche irgendsoei Halunke,2
Java-Jim,Schiff klauen San Francisco anlegen,2
Bob,Sehen,2
Java-Jim,Vorsicht knarr Truhe masakepen oftmals,2
Java-Jim,Versteckte fahren,2
Justus,atmen Aaaah,2
REGIE,dumpf schnappend Geräusch,2
Bob,erschreckt Messer schnaufen,2
Justus,oi joi joi,2
Bob,knapp Just Kopf vorbei,2
Java-Jim,siehste Ich,2
Bob,Verschnauft treffen,2
Peter,Truhe Messer fliegen Truhe,2
Mathilda,passieren Justu,2
Justus,,2
Bob,Himmel geheimfach Boden,2
Peter,,2
Bob,versteckt Mechanismus berühren,2
Bob,aufspringen,2
Peter,Versteck finden umbringen,2
Mathilda,Werk Mrjavajim bestrafen,2
Java-Jim,unschuldig wissen Fall,2
Justus,orientalisch Dolch wahrscheinlich Jahrhundert,2
Justus,Pirat einbauen fallen,2
Peter,erstaunen Pirat Doll,2
Justus,typisch indonesisch Trick wahrscheinlich javanisch,3
Bob,javanisch javajim,3
Java-Jim,reichen Spitzname geben,3
Java-Jim,Weile Java leben,3
Peter,Weiß Java liegen,3
Justus,Insel Indonesien Peter hundert,3
Justus,massenhaft Pirat,3
REGIE,kratzend klopfend Geräusch,3
Bob,Schatz Amerika bringen Justu beispielsweise,3
Bob,Kalifornien,3
Justus,wühlen Truhe herum Peter,3
Peter,Ring,3
Justus,häh,3
Peter,Geheimfach,3
Bob,,3
Java-Jim,Lügner nennen jung,3
Justus,zeigen Rechnung Kauf benennen zeugen,3
Justus,,3
Java-Jim,zögernd stotternd Ähm Ähm Mhm,3
Justus,Schlag Truhe Lager unterstellen,3
Justus,Beweis bringen,3
Java-Jim,Musiksequenz nehmen gehören,3
Java-Jim,Ring Truhe,3
Justus,,3
Bob,Hilfe Justu Ring Truhe wegnehmen,3
Java-Jim,,3
Justus,stöhnen,3
Bob,Hintergrund halten Dieb halten Dieb laufen,3
REGIE,Abermalige stöhnen,3
Mathilda,lassen laufen Ring wert,3
Bob,Sowas bloß scharf Truhe sagen,3
Bob,Truhe unbedingt,3
Peter,bestimmt gehören,4
Bob,,4
Peter,,4
Bob,murmeln,4
REGIE,Musik Vordergrund,4
Erzähler,Gleiche holen Justu telefonisch Erkundigung,4
Erzähler,erfahren Javajim stellen versucht Truhe kaufen,4
Erzähler,Geschichte erzählen offensichtlich gelogen Truhe,4
Erzähler,stammen eingeschnitzt Schrift beweisen argyll Queen Schiff,4
Erzähler,hundert kalifornisch Küste versunken Bob zuständig,4
Erzähler,Recherche beschließen historisch Forschungsinstitut rockybeach,4
