Speaker,Text,Page
REGIE,flüsternde mumie,1
REGIE,hörspielskript flukeskywater,1
REGIE,anfangsmusik,1
REGIE,hintergrund arbeitslärm hundegebell,1
Blacky,hilfe hilfe rettet hilfe,1
Mathilda,justus vogel fernsehen lassen redet krimi,1
REGIE,papageiengekrächze,1
Justus,schnauft tante mathilda mmh tür,1
Mathilda,türen burschen,1
Mathilda,bob peter nu,1
Bob,widerwillig,1
Justus,arbeit schwer tante mathilda könnten pause gebrauchen,1
Mathilda,aach verstehe gesehen post gekommen,1
Mathilda,neugierig glaubt brief,1
Justus,keucht tante mathilda,1
Mathilda,lacht,1
Justus,danke,1
Bob,briefe just,1
Justus,geduld bob erstmal sehen rosa papier sieht,1
Justus,katzenliebhaberin,1
Peter,meinst bestimmt auftrag katze suchen,1
Bob,grade scharf drauf papiergeraschel,1
Justus,enttäuscht entlaufene katze erneut,1
Justus,papiergeraschel hach junge junge brief alfred,1
Justus,hitchcock,1
Peter,hitchcock,1
Bob,auftrag,1
Justus,sehen,1
Bob,just,1
Justus,kollegen lest selber würdet glauben,1
Justus,vorlese würdet glauben spinne peter lies,1
Peter,gib danke,2
Bob,lies peter,2
Peter,geduld bob lacht unglaublich glaube kuckuck schielt,2
Peter,just 3000 alte mumie flüstern,2
REGIE,zwischenmusik,2
Erzähler,geheimnisvoller fall mumie flüstern erscheint,2
Erzähler,unmöglich fragezeichen fall sofort begeistert suchten,2
Erzähler,professor yarborough freunde verzweiflung,2
Erzähler,gewandt hilfe gebeten mumie,2
Erzähler,hause plötzlich flüstern begonnen detektive fuhren rolls,2
Erzähler,royce kostenlos benutzen justus preisausschreiben,2
Erzähler,gewonnen,2
REGIE,hintergrund gedämpfter motorenlärm,2
Justus,bitte halten mister morton,2
Morton,herren,2
Peter,hübsches haus fast hollywood übersehen,2
REGIE,motorengeräuschs,2
Justus,angemeldet professor wartet glück,2
Justus,mumie spricht,2
Peter,mumie spricht halte zimmer,2
Peter,fragt verstehen professor durcheinander,2
Peter,,2
Bob,ältere herr terrasse diener,2
Justus,glaube diener heißt wilkins,2
Peter,steigen,2
