Speaker,Text,Page
REGIE,,1
REGIE,rätselhaften bilder,1
REGIE,hörspielskript graf zahl,1
REGIE,anmerkung de groot spricht niederländischem akzent benutzt manchmal niederländische,1
REGIE,wörter sätze niederländisch marechal spricht französischem akzent,1
REGIE,titelmusik,1
REGIE,motorengeräusch pritschenwagen,1
REGIE,öffnen autotüren,1
REGIE,sprung kies,1
REGIE,zuschlagen autotüren,1
REGIE,vogelgeschrei betreten hauses,1
Justus,onkel titus drüben,1
REGIE,schritte,1
Onkel Titus,hinsehen,1
Justus,links haus,1
Onkel Titus,,1
Justus,schwarze gestalt deutlich hauswand gese,1
Justus,hen,1
Onkel Titus,geirrt justus,1
Justus,geirrt bestimmt,1
Onkel Titus,schön prof carswell sagen gesehen,1
Onkel Titus,hoffentlich,1
REGIE,schritte,1
Justus,bestimmt brennt licht haus,1
Onkel Titus,bedeuten,1
REGIE,läuten,1
REGIE,öffnen tür,1
Justus,guten abend,1
Onkel Titus,prof carswell,1
Prof. Carswell,vermutlich mr jonas altwarenhandel,1
Prof. Carswell,herein,1
Onkel Titus,beunruhigen herr professor neffe behauptet,2
Onkel Titus,steif fest schwarzgekleidete gestalt haus,2
Onkel Titus,klettern sehen,2
Prof. Carswell,eingestiegen bitte arme leute,2
Prof. Carswell,stehlen,2
Prof. Carswell,sohn abenteuerspiel,2
Justus,alt sohn,2
Prof. Carswell,jünger größer,2
Prof. Carswell,freund,2
Justus,peter shaw,2
Peter,hallo,2
Justus,bob andrews,2
Prof. Carswell,angenehm herein schritte nachsehen,2
Prof. Carswell,einbrecher haus,2
REGIE,schließen tür,2
REGIE,schritte,2
Prof. Carswell,türöffnen türöffnen schritte türschließen,2
Prof. Carswell,sehen,2
Justus,irgendwo,2
Prof. Carswell,sprachwissenschaftler heutzutage haus,2
Prof. Carswell,leisten vetter anwesen hinterlassen,2
Justus,stehlen gibts,2
Prof. Carswell,hört enttäuscht,2
Peter,justus liebt geheimnis bestimmt einbrecher,2
Justus,sohn haus weiß,2
Justus,gesehen onkel titus hergebeten paar sachen,2
Justus,verkaufen wertvolles,2
Prof. Carswell,freuen alte,2
Prof. Carswell,mr cameron hinterlassen monat haus gestor,2
Prof. Carswell,ben paar dinge geblieben bilder,2
Prof. Carswell,einsiedler,2
Justus,manchmal einsiedler verborgene reichtümer,2
Prof. Carswell,redest detektiv,2
Peter,detektive zeig karte just,2
Justus,bitte herr professor papiergeräusch visitenkarte,2
Prof. Carswell,detektive übernehmen fall detektiv justus,3
Prof. Carswell,jonas detektiv peter shaw recherchen archiv bob,3
Prof. Carswell,andrews eindrucksvoll,3
Hal,entfernt hilfe hilfe papa,3
Prof. Carswell,sohn hal treppe,3
REGIE,schnelle schritte rennen,3
REGIE,türöffnen,3
Hal,gequält hilfe helft,3
Justus,aufgeregt umgekippten schreibtisch liegt,3
