Speaker,Text,Page
REGIE,die  drei  ,1
REGIE,und   der grüne   geist,1
REGIE,hörspielskript von astrid,1
REGIE,cassettenanfangsmusik,1
REGIE,schrei des grünen geistes,1
REGIE,grillenzirpen uhurufe,1
Bob,peter hast du das gehört,1
Peter,das war ja wohl nicht zu überhören,1
Bob,wer hat da geschrien,1
Peter,ich weiß nicht,1
Bob,das haus steht leer es soll abgerissen werden,1
Peter,ich weiß komm komm laß uns verschwinden mir ist das zu unheimlich,1
Peter,männerstimmen,1
Bob,jemand kommt männer,1
Peter,läuft dein tonband,1
Bob,die ganze zeit,1
Peter,dann hast du den schrei drauf,1
Bob,hab ich,1
Peter,das genügt komm wir hauen ab mir ist es zu dunkel und zu unheimlich,1
Bob,okay wir laufen,1
REGIE,rennen weg stoßen mit jemandem zusammen,1
1.Mann,hoppla junge bald hättest du mich umgerannt,1
Bob,entschuldigen sie ich habe sie nicht gesehen,1
1.Mann,macht nichts aber  wer hat denn da so geschrieen wir sahen euch vor dem haus,1
1.Mann,stehen na ihr müßt doch was gesehen haben,1
Peter,haben wir aber nicht wwwir wissen auch nicht wer da geschrieen hat hundegebell,1
Peter,es hörte sich an hundegebell als ob es ein geist sei,1
2.Mann,geist so ein unsinn,1
1.Mann,ich meine wir sollten ins haus gehen,1
2.Mann,dann sind wir schon mal hier weil wir uns das alte gemäuer ansehen wollten bevor,1
2.Mann,es ganz abgerissen wird also sollten wir auch drinnen nachsehen,1
1.Mann,vielleicht ist jemand verletzt,2
3.Mann,ich schlage vor wir rufen die polizei,2
2.Mann,einverstanden aber erst sehen wir nach vielleicht hat auch nur eine katze ge,2
2.Mann,schrieen kommt,2
1.Mann,ja ich weiß nicht,2
2.Mann,sie fürchten sich doch nicht hundegewinsel wir sind 6 mann und haben taschen,2
2.Mann,lampen dabei und außerdem haben sie ja noch den hund,2
1.Mann,ja der so klein ist daß ich ihn auf dem arm tragen muß aber sie haben recht wir,2
1.Mann,gehen hinein,2
Bob,los peter wir gehen mit,2
Bob,schritte tür wird geöffnet schrei des grünen geistes,2
2.Mann,da war es wieder das kam aus dem haus schnell jemand ist in not,2
3.Mann,das hörte sich ja schrecklich an,2
1.Mann,ist die tür offen,2
