Speaker,Text,Page
REGIE,die   drei       und    der   superpapagei,1
REGIE,hörspielskript,1
REGIE,anfangsmusik,1
REGIE,vogelgezwitscher,1
REGIE,schritte,1
REGIE,hilferufe,1
Justus,hey peter jemand ruft um hilfe,1
Peter,ich habs gehört zögert war das nun ein mann oder eine frau,1
Justus,überlegt    hm vielleicht keins von beiden,1
Justus,keins von beiden wie meinst du das just vielleicht ein kind,1
Peter,verwundert   oder ob es mr malcolm fentriss war dann wäre es doch ein,1
Peter,mann gewesen,1
Justus,ich weiß nicht,1
Justus,oh mensch just wir ziehn los um einen verschwundenen,1
Peter,stöhnt       papagei zu suchen und bevor wir noch im haus sind schreit,1
Peter,jemand um hilfe,1
Justus,hm,1
Justus,ich hoffe nur daß dies nicht schon wieder ein komplizierter fall,1
Peter,,1
Peter,wird,1
Peter,im gegenteil es fängt doch recht aussichtsreich an horcht hm,1
Justus,,1
Justus,scheint sich alles wieder beruhigt zu haben wir sehen mal nach,1
Justus,zu diesem haus zieht mich aber gar nichts hin es sieht aus als,1
REGIE,ängstlich,1
Peter,hätte es lauter verschlossene räume die man besser nicht betritt,1
Peter,ein ausgezeichneter vergleich denk daran daß wir ihn an bob,1
Justus,,1
Justus,weitergeben wenn wir wieder in der zentrale sind,1
Peter,wieso,1
Justus,weil bob für die aktenführung verantwortlich ist,1
Peter,ach so,1
Justus,flüstert    komm wir schleichen uns näher ran,1
Peter,flüstert     aber vorsichtig,2
REGIE,unheilverkündende,2
REGIE,musik,2
Justus,flüstert    ach die bäume und büsche geben doch eine gute deckung ab,2
REGIE,unheilverkündende,2
REGIE,musik,2
REGIE,leise schritte,2
REGIE,flüstert,2
Peter,nicht so laut,2
REGIE,eindringlich,2
REGIE,leise schritte leise,2
REGIE,musik,2
Justus,peter,2
Peter,verwundert   ja just was ist,2
Justus,aufgeregt   hinter dir ein mann er hat eine,2
Peter,was,2
Mann,tiefe stimme  so so da hab ich euch und nun mal ganz schnell ins haus mit,2
Mann,euch hä wolln doch mal sehn was ihr im schilde führt,2
Justus,aber sir sie brauchen uns doch nicht mit der pistole ,2
Mann,na das ist doch wohl meine sache also ab mit euch ins haus,2
Mann,drohend und laßt euch gar nicht einfallen wegzulaufen ihr würdet,2
Mann,es bereuen verstanden,2
REGIE,stöhnt,2
Justus,nicht weglaufen peter wir wollen mr fentriss doch überzeugen,2
Justus,daß wir in einer ganz legalen angelegenheit hier sind,2
Peter,kläglich     ich könnte gar nicht rennen mir zittern die knie als ob ich eben,2
Peter,erst laufen gelernt hätte,2
REGIE,schritte auf,2
REGIE,kies,2
Mann,los mach die tür auf vergeßt nicht daß ich schieße wenn ihr,2
Mann,dummheiten macht,2
REGIE,schritte,2
Mann,gut so und lacht tür klappt jetzt darüber setzen sehr schön,2
Mann,wartet kurz und nun mal raus mit der sprache was wollt ihr hier,2
Mann,hm,2
Justus,selbstbewußt wir wollten ihnen einen geschäftsbesuch abstatten mr fentriss,2
Mann,so so einen geschäftsbesuch bei hm natürlich bei mir lacht,2
Mann,und dazu schleicht ihr euch von baum zu baum wie indianer auf,2
Mann,dem kriegspfad,3
Peter,zögernd      wir hörten jemanden um hilfe schreien deshalb haben wir uns,3
Peter,hinter den bäumen versteckt,3
Mann,hm hm einen hilferuf wollt ihr gehört haben,3
Justus,es war so sir wir wurden von alfred hitchcock dem berühmten,3
Justus,regisseur hergeschickt er sagte sie vermissen ihren papagei,3
Justus,und die polizei wolle ihnen bei der suche nicht helfen wir sind,3
Justus,detektive und bereit sie bei der wiederbeschaffung ihres,3
Justus,gefiederten hausgenossen zu unterstützen ja hier unsere karte,3
Mann,liest         hm hm die drei  wir übernehmen jeden fall erster detektiv,3
Mann,justus jonas hm hm zweiter detektiv peter shaw hm hm,3
Mann,dritter detektiv verantwortlich für recherchen und archiv bob,3
Mann,andrews,3
Justus,selbstbewußt ich bin justus jonas und das ist mein kollege peter shaw,3
Mann,und was bedeuten die drei fragezeichen bezweifelt ihr eure,3
Mann,eigenen fähigkeiten hä,3
Justus,das fragezeichen ist ein symbol für das unbekannte für,3
Justus,unbeantwortete fragen ungelöste rätsel unsere aufgabe ist es,3
Justus,fragen zu beantworten rätsel zu lösen und geheimnisse jeglicher,3
Justus,art zu lüften daher sind die drei fragezeichen das markenzeichen,3
Justus,unserer detektivfirma,3
Mann,schon gut ich verstehe ihr seid also hier weil ihr das geheimnis,3
Mann,um meinen verschwundenen papagei klären wollt,3
Justus,ja sir,3
Mann,ach wenn ich das nur glauben könnte tja stöhnt ach was mach,3
Mann,ich nur mit euch was mach ich nur mit momentmal ich will mir,3
Mann,eine zigarette anstecken,3
REGIE,drohende,3
REGIE,musik geräusche,3
Mann,so ich sehe mich leider gezwungen euch,3
Justus,aufgeregt   bitte sir nein nicht schießen bitte,3
Peter,aufgeregt    nicht sir,3
REGIE,geräusch des,3
REGIE,zündens,3
Peter,stöhnt       die pistole ist,3
Justus,erleichtert  ein gasfeuerzeug,3
Mann,atmet aus    so ist es,3
REGIE,lacht,3
Justus,sie wollten uns also einer nervenprobe unterziehen,3
Mann,ja so ist es mr hitchcock hatte mir euren besuch äh telefonisch,4
Mann,angekündigt er bat mich euch ein wenig mal auf den zahn zu,4
Mann,fühlen es tut mir leid daß ich euch keinen fall bieten kann,4
Peter,verwundert   ja dann ist der papagei gar nicht weg aber mr hitchcock sagte,4
Peter,sie nähmen es sich so zu herzen,4
Mann,ja schon aber jetzt ist lucky wieder da,4
Justus,lucky,4
Mann,ja lucky so heißt der papagei lacht das leitet sich von lucullus,4
Mann,ab lucullus war nämlich ,4
Justus, ein berühmter römischer feldherr und schlemmer,4
Mann,und der papagei ist ein komödiant dazu lacht ich brachte ihm,4
Mann,bei sklave zu spielen sklave hinter gitterstäben und da schreit,4
Mann,das biest eben mal ab und zu um hilfe das gehört einfach dazu,4
Justus,dürfen wir ihn einmal sehen,4
Mann,nein das geht nun wieder leider nicht tut mir sehr leid der schläft,4
Mann,jetzt unter einem tuch,4
Justus,enttäuscht  na ja dann gibts hier nichts mehr zu ermitteln es freut mich daß,4
Justus,ihr papagei wieder da ist mr fentriss,4
Mann,eilig         also ich danke euch eure karte behalt ich mal hier für alle fälle,4
Mann,natürlich und auf wiedersehen es hat mich sehr gefreut ja und,4
Mann,nun ab marsch los abhaun,4
Mann,justus und            auf wiedersehen,4
Peter,,4
REGIE,musik,4
REGIE,sprecher             justus und peter waren enttäuscht alles hatte so vielversprechend,4
REGIE,begonnen  ein einsames haus ein hilferuf ein nicht sehr,4
REGIE,vertrauenserweckend aussehender mann mit pistole  und jetzt war,4
REGIE,alles schon wieder vorbei justus und peter verließen das haus und,4
REGIE,den garten sie gingen zu einem rolls royce der goldene,4
REGIE,beschläge hatte und fuhren mit ihm davon justus hatte die,4
REGIE,annehmlichkeiten dieses wagens schätzen gelernt er wurde ihnen,4
REGIE,von einem ehemaligen klienten der drei  bei bedarf kostenlos,4
REGIE,zur verfügung gestellt  mit chauffeur natürlich,4
REGIE,ich denke wir sollten nach hause fahren mr morton der papagei,4
Justus,,4
Justus,ist von allein zurückgekommen,4
Morton,sehr wohl die herrschaften,4
REGIE,motorengeräusch,4
REGIE,der dämliche papagei hätte ruhig noch ein wenig wegbleiben,4
REGIE,stöhnt,4
Peter,können,4
Justus,du peter,4
Peter,ja just was ist,5
Peter,schau mal zu dem haus rüber hm ich glaube irgendwas ist nicht,5
Justus,in ordnung ich weiß nicht was hm der ursprung entzieht sich,5
Justus,wirklich meiner kenntnis,5
Justus,du meinst irgendwas paßt nicht ins gesamtbild du kriegst nur,5
Peter,,5
Peter,nicht heraus was es ist,5
Justus,hm ja genau,5
Peter,also mir fällt nichts auf,5
Morton,soll ich halten die herrschaften,5
Peter,nein nein mr morton fahren sie nur weiter,5
Justus,aufgeregt  nein morton wir müssen zurück sofort schnell,5
REGIE,drängend,5
Morton,sehr wohl die herren ganz nach wunsch,5
REGIE,quietschende,5
REGIE,räder,5
Peter,empört       na hör mal just was ist denn in dich gefahren warum kehren wir,5
Peter,um,5
Justus,weil ich jetzt weiß was da nicht stimmt zum haus von mr fentriss,5
Justus,führt nämlich keine telefonleitung,5
Peter,verwundert   na und dann hat er eben kein telefon,5
Justus,mr fentriss hat vorhin ausdrücklich gesagt daß mr hitchcock ihm,5
Justus,unsern besuch per telefon angekündigt hat jetzt weiß ich daß,5
Justus,das gelogen war und wenn das gelogen war dann ist da auch,5
Justus,noch mehr faul,5
Peter,seltsam,5
