Speaker,Text,Page
REGIE,die    drei   ,1
REGIE,und    die   rätselhaften        bilder,1
REGIE,hörspielskript von graf zahl,1
REGIE,anmerkung de groot spricht mit niederländischem akzent und benutzt manchmal niederländische,1
REGIE,wörter oder ganze sätze auf niederländisch marechal spricht mit französischem akzent,1
REGIE,titelmusik,1
REGIE,motorengeräusch pritschenwagen,1
REGIE,öffnen von autotüren,1
REGIE,sprung auf kies,1
REGIE,zuschlagen von autotüren,1
REGIE,vogelgeschrei bis zum betreten des hauses,1
Justus,onkel titus sie mal da drüben,1
REGIE,schritte,1
Onkel Titus,was ist denn wo soll ich hinsehen,1
Justus,dort links neben dem haus,1
Onkel Titus,da ist nichts was soll denn da sein,1
Justus,da ist eine schwarze gestalt ich hab sie deutlich an der hauswand gese,1
Justus,hen,1
Onkel Titus,ach du hast dich geirrt justus da ist nichts und da war nichts,1
Justus,ich hab mich nicht geirrt bestimmt nicht,1
Onkel Titus,na schön wir können ja prof carswell sagen daß du was gesehen hast,1
Onkel Titus,hoffentlich ist er da,1
REGIE,schritte,1
Justus,bestimmt es brennt ja licht im haus,1
Onkel Titus,ach das hat nichts zu bedeuten,1
REGIE,läuten,1
REGIE,öffnen der tür,1
Justus,guten abend,1
Onkel Titus,prof carswell,1
Prof. Carswell,der bin ich sie sind vermutlich mr jonas vom altwarenhandel kommen,1
Prof. Carswell,sie herein,1
Onkel Titus,ich will sie nicht beunruhigen herr professor aber mein neffe behauptet,2
Onkel Titus,steif und fest er habe eine schwarzgekleidete gestalt an ihrem haus hoch,2
Onkel Titus,klettern sehen,2
Prof. Carswell,hier soll jemand eingestiegen sein aber ich bitte sie wir sind arme leute,2
Prof. Carswell,wer sollte hier etwas stehlen wollen möglich wäre allerdings daß mein,2
Prof. Carswell,sohn mal wieder ein abenteuerspiel gemacht hat,2
Justus,wie alt ist ihr sohn,2
Prof. Carswell,ein wenig jünger als du möchte ich meinen aber größer so groß wie dein,2
Prof. Carswell,freund hier,2
Justus,das ist peter shaw,2
Peter,hallo,2
Justus,und das ist bob andrews,2
Prof. Carswell,angenehm kommen sie herein schritte wir wollen mal nachsehen ob ein,2
Prof. Carswell,einbrecher im haus ist,2
REGIE,schließen der tür,2
REGIE,schritte,2
Prof. Carswell,vielleicht hier türöffnen oder hier türöffnen schritte türschließen,2
Prof. Carswell,nein nichts niemand zu sehen,2
Justus,irgendwo muß er sein,2
Prof. Carswell,ein sprachwissenschaftler kann sich heutzutage ein solches haus gar nicht,2
Prof. Carswell,leisten ein vetter hat uns das anwesen hinterlassen,2
Justus,viel zu stehlen gibts hier nicht,2
Prof. Carswell,das hört sich richtig enttäuscht an,2
Peter,justus liebt das geheimnis aber hier ist ganz bestimmt kein einbrecher,2
Justus,ihr sohn ist aber auch nicht im haus ich weiß doch daß ich jemanden,2
Justus,gesehen habe sie haben onkel titus hergebeten um ihm ein paar sachen,2
Justus,zu verkaufen ist etwas wertvolles dabei,2
Prof. Carswell,würde mich freuen wenn es so wäre aber es ist nur das was uns der alte,2
Prof. Carswell,mr cameron hinterlassen hat er ist vor einem monat hier im haus gestor,2
Prof. Carswell,ben von ihm sind ein paar dinge geblieben darunter einige bilder er war,2
Prof. Carswell,ein einsiedler,2
Justus,manchmal haben einsiedler verborgene reichtümer,2
Prof. Carswell,du redest wie ein detektiv,2
Peter,wir sind ja auch detektive zeig unsere karte just,2
Justus,gern bitte herr professor papiergeräusch unsere visitenkarte,2
Prof. Carswell,hm die drei detektive wir übernehmen jeden fall erster detektiv justus,3
Prof. Carswell,jonas zweiter detektiv peter shaw recherchen und archiv bob,3
Prof. Carswell,andrews hm recht eindrucksvoll,3
Hal,entfernt hilfe hilfe papa,3
Prof. Carswell,da ist mein sohn hal die treppe hoch,3
REGIE,schnelle schritte rennen,3
REGIE,türöffnen,3
Hal,gequält hilfe helft mir,3
Justus,aufgeregt da unter dem umgekippten schreibtisch liegt er,3
Peter,ja,3
Prof. Carswell,harold,3
Hal,gequält papa hilf mir,3
Prof. Carswell,schnell den schreibtisch hoch,3
REGIE,schreibtisch wird angehoben und geschoben,3
Justus,bob komm wir sehen uns draußen um,3
Bob,okay,3
REGIE,quietschendes türöffnen,3
REGIE,schritte auf hartem boden,3
REGIE,türöffnen,3
REGIE,schnelle schritte auf kies,3
REGIE,vogelgeschrei,3
Justus,laß und mal da drüben nachsehen bei dem kleinen häuschen mit der,3
Justus,markise,3
Bob,just mensch da ist doch jemand da läuft er,3
Justus,ja ich seh ihn schnell hinterher,3
REGIE,schritte,3
Bob,er muß hinter dem haus sein,3
Justus,vorsicht falls er auf uns wartet,3
REGIE,schrei,3
Justus,der einbrecher ist in eine schlucht gestürzt,3
Bob,schnell hin vielleicht können wir ihn noch sehen,3
Justus,vorsichtig bob da hinter den büschen scheint die schlucht zu sein auf,4
Justus,passen sonst rutschen wir auch noch durch die büsche,4
Bob,man sieht überhaupt nichts die büsche stehen so dicht und es ist auch,4
Bob,schon so dunkel,4
REGIE,vogelzwitschern,4
Justus,hier ist eine lücke hier ist er durchgelaufen,4
Bob,da unten das ist er,4
