Speaker,Text,Page
REGIE,die   drei      und   der   unheimliche       drache,1
REGIE,7,1
REGIE, hörspielskript von flukeskywater ,1
REGIE,anfangsmusik,1
REGIE,im hintergrund papageiengekrächze,1
Peter,seufzt na  nichts los heute es ist zum auswachsen,1
Bob,was nicht ist kann ja noch werden peter,1
Peter,seufzt wieder nee  na ich glaub ich geh zum baden was ist mit euch,1
Peter,kommt ihr mit telefonklingeln heeey bob just was ist mit euch,1
Justus,aaach sei doch mal ruhig mann ich nehm mal ab  ja justus jonas von den,1
Justus,drei detektiven,1
Peter,du bob stell mal den verstärker ein damit wir mithören können,1
Bob,ja ,1
Sekretärin,justus jonas sie werden von alfred hitchcock verlangt,1
Bob,mann vielleicht hat mr hitchcock wieder einen schönen fall für uns,1
Hitchcock,hallo ,1
Peter,psst da ist er,1
Hitchcock, junger freund,1
Justus,hallo mr hitchcock,1
Hitchcock,steckst du mit deinen kollegen gerade in irgendwelchen ermittlungen,1
Justus,nein sir aber nach dem gesetz der wahrscheinlichkeit müssten wir bald wieder,1
Justus,auf irgendetwas interessantes stoßen,1
Hitchcock,lacht leise gesetz der wahrscheinlichkeit ist gut falls ihr frei seid hab ich etwas,1
Hitchcock,für euch,1
Peter,ja,1
Hitchcock,ein freund von mir ein ehemaliger regisseur hätte hilfe nötig,1
Justus,wir würden es gern versuchen mr hitchcock,1
Peter,mhm,1
Justus,was hat denn ihr freund für ein problem,1
Hitchcock,das problem ist anscheinend ein hund mit anderen worten er erzählte mir vor,1
Hitchcock,kurzem am telefon dass ihm sein hund abhanden gekommen ist,1
Justus,zählt ihr freund zufällig zu den einwohnern von seaside mr hitchcock,1
Hitchcock,woher weißt du das er wohnt tatsächlich in seaside junger mann wie kommst,1
Hitchcock,du darauf,1
Peter,sag ihm doch dass wir im radio von den verschwundenen hunden von seaside,2
Peter,gehört haben,2
Bob,genau,2
Justus,äh ich stellte lediglich den zusammenhang zwischen einigen außergewöhnlichen,2
Justus,vorkommnissen her,2
Peter,ja,2
Hitchcock,bemerkenswert ,2
Justus,stolz mhm,2
REGIE,lacht,2
Hitchcock,wirklich sehr bemerkenswert es gefällt mir dass ihr immer hellwach seid und,2
Hitchcock,noch nicht so eingebildet oder blasiert dass es euer unternehmen lahmlegt,2
Justus,belustigt dazu wird es nie kommen mr hitchcock,2
Peter,verneinend mhm,2
Justus,aber sie sagen das problem bei ihrem freund sei anscheinend ein hund sie,2
Justus,betonen das wort anscheinend so auffällig geschah das absichtlich,2
Hitchcock,ich muss schon sagen da hast du bereits genau erraten was ich zum ausdruck,2
Hitchcock,bringen wollte ich glaube nämlich nicht dass es sich hier einfach nur um einen,2
Hitchcock,entlaufenen hund handelt bei licht besehen kann ein fall in dem ein drache,2
Hitchcock,vorkommt ,2
Peter,leise was,2
Hitchcock, wohl kaum alltäglich genannt werden,2
Justus,erstaunt ein  ein drache,2
Peter,lacht ungläubig ein drache ,2
Hitchcock,mein junge  das haus meines freundes liegt direkt über dem meer ,2
Peter,leise schreibs auf,2
REGIE,murmelt zustimmend,2
Hitchcock, und darunter verlaufen unterirdische gänge mein freund behauptet steif und,2
Hitchcock,fest dass er in der nacht in der sein hund verschwand einen ziemlich großen,2
Hitchcock,drachen aus dem ozean auftauchen und in einer dieser höhlen unter seinem,2
Hitchcock,grundstück verschwinden sah,2
Peter,waaas,2
Justus,bemerkenswert sir,2
Hitchcock,nun was sagst du dazu mein junge seid ihr drei bereit zu diesem fall,2
Hitchcock,ermittlungen anzustellen,2
Justus,bitte geben sie mir den namen und die adresse ihres freundes sir,2
REGIE,stöhnt auf,2
Justus,das hört sich an als  als könnte es unser spannendster fall werden,2
Peter,ach unser spannendster fall,3
Bob,ja doch peter unser spannendster,3
Peter,wenn es dabei um einen drachen geht dann hätte ich gesagt das könnte unser,3
Peter,letzter fall werden ,3
REGIE,zwischenmusik,3
Erzähler,das städtchen seaside lag etwa 35 autobahnkilometer entfernt glücklicherweise,3
Erzähler,musste patrick einer der beiden irischen brüder die auf dem schrottplatz von mr,3
Erzähler,jonas arbeiteten an diesem tag in die gegend von seaside das war eine gute,3
Erzähler,gelegenheit für die drei detektive sich dort hin fahren zu lassen und meinen,3
Erzähler,freund mr allen aufzusuchen,3
REGIE,im hintergrund meeresrauschen und möwengeschrei,3
Justus,bob hattest du inzwischen zeit für ein wenig forschungsarbeit was kannst du,3
Justus,uns über drachen berichten,3
Peter,na,3
Bob,ein drache ist ein durch die sage überliefertes ungeheuer das meist in gestalt,3
Bob,eines großen reptils mit flügeln und klauen erscheint ,3
Peter,uh ,3
Bob, und rauch und feuer speit,3
Justus,hm,3
Peter,ich hab gar keine forschungen angestellt ,3
Justus,kritisch hm,3
Peter,aber ich glaube bob hat etwas wichtiges außer acht gelassen drachen sind nicht,3
Peter,sehr umgänglich,3
